full_address,performance,exhibition_visual_arts,screen_based,library,multipurpose,heritage,ownership
"5 Glen Park Avenue, Toronto, ON, M6B 4J2",1,NA,NA,NA,NA,NA,Owned by others
"47 Glenbrook Avenue, Toronto, ON, M6B 2L7",1,NA,NA,NA,1,NA,Owned by others
"901 Lawrence Avenue West, Toronto, ON, M6A1C3",NA,1,NA,NA,NA,NA,Owned by others
"901 Lawrence Avenue West, Suite 307, Toronto, ON, M6A 1C3",NA,1,NA,NA,NA,NA,Owned by others
"247 Marlee Avenue, Toronto, ON, M6B 4B8",1,NA,NA,NA,NA,NA,Owned by others
"341 Oakwood Avenue, Toronto, ON, M6E 2W1",1,1,NA,1,1,NA,City Operated
"605 Oakwood Avenue , Toronto, ON, M6E 2G8",NA,NA,NA,NA,1,NA,Owned by others
"40 Playfair Avenue, Toronto, ON, M6B 2P9",NA,NA,NA,NA,1,NA,Owned by others
"5 Replin Road, Toronto, ON, M6A 2M8",NA,NA,NA,NA,1,NA,City Owned
"529 Vaughan Road, Toronto, ON, M6C 2R1",1,NA,NA,NA,1,NA,Owned by others
"169 Viewmount Avenue, Toronto, ON, M6B 1T7",NA,NA,NA,NA,1,NA,City Owned
"2140 Avenue Road, Toronto, ON, M5M 4M7",NA,NA,NA,1,NA,NA,City Owned
"641 Briar Hill Avenue, Toronto, ON, M5N 1N4",NA,1,NA,NA,NA,NA,Owned by others
"201 Caribou Road, Toronto, ON, M5N 2B5",1,NA,NA,NA,NA,NA,Owned by others
"125 Chatsworth Drive, Toronto, ON, M4R 1S1",1,NA,NA,NA,1,NA,Owned by others
"24 Cheritan Avenue, Toronto, ON, 
M4R 1S4
",1,NA,NA,NA,1,NA,Owned by others
"585 Cranbrooke Avenue, Toronto, ON, M6A 2X9",1,1,NA,NA,NA,NA,Owned by others
"730 Eglinton Avenue West, Toronto, ON, M5N 1B9",NA,NA,NA,NA,1,NA,Owned by others
"200 Eglinton Avenue West, Toronto, ON, M4R 1A7",NA,NA,NA,NA,1,NA,City Owned
"384 Eglinton Avenue West, Toronto, ON, M5N 1A2",NA,1,NA,NA,NA,NA,Owned by others
"28 Fairlawn Avenue, Toronto, ON, M5M 1S7",1,1,NA,NA,1,NA,Owned by others
"1 Glenview Avenue, Toronto, ON, M4R 1P5",1,NA,NA,NA,1,NA,Owned by others
"471 Lawrence Avenue West, Toronto, ON, M5M 1C6",1,NA,NA,NA,1,NA,Owned by others
"35 Lytton Boulevard, Toronto, ON, M4R 1L2",1,NA,NA,NA,1,NA,Owned by others
"33 Melrose Avenue, Toronto, ON, M5M 1Y6",1,NA,NA,NA,1,NA,Owned by others
"375 Melrose Avenue, Toronto, ON, M5M 1Z6",1,NA,NA,NA,1,NA,Owned by others
"100 Old Orchard Grove, Toronto, ON, M5M 2E2",1,NA,NA,NA,NA,NA,Owned by others
"40 Orchard View Boulevard, Toronto, ON, M4R 1B9",1,NA,NA,1,NA,NA,City operated
"222 Ridley Boulevard, Toronto, ON, M5M 3M6",1,NA,NA,NA,NA,NA,Owned by others
"70 St. Clements Avenue, Toronto, ON, M4R 1H2",1,NA,NA,NA,1,NA,Owned by others
"2300 Yonge Street, Toronto, ON, M4P 1L8",1,NA,NA,NA,NA,NA,Owned by others
"1660 Avenue Road, Toronto, ON, M5M 3X9",1,NA,NA,NA,NA,NA,Owned by others
"2464 Yonge Street, Toronto, ON, M4P 2H5",1,1,1,NA,1,NA,Owned by others
"2492 Yonge Street, Toronto, ON, M4P 2H7
",NA,NA,NA,NA,1,NA,Owned by others
"3300 Yonge Street, Toronto, ON, M4N 2L6",1,NA,NA,NA,NA,NA,Owned by others
"4190 Yonge Street, Toronto, ON, M2P 1N9",1,NA,NA,NA,1,NA,Owned by others
"34 Caledonia Road, Toronto, ON, M6E 4S4
",1,NA,NA,NA,1,NA,Owned by others
"60 Caledonia Road, Toronto, ON, M6E 4S4
",1,NA,NA,NA,1,NA,Owned by others
"1900 Davenport Road, Toronto, ON, M6N 1B7",1,1,NA,NA,1,NA,Owned by others
"1625 Dufferin Street, Toronto, ON, M6H 3L9",1,NA,NA,1,NA,NA,City operated
"1695 Dufferin Street, Toronto, ON, M6E 3N9",1,NA,NA,NA,NA,NA,Owned by others
"330 Geary Avenue, Studio A, Toronto, ON, M6H 2C7",1,NA,NA,NA,NA,NA,Owned by others
"940 Lansdowne Avenue, #9, Toronto, ON, M6H 4H2",1,1,1,NA,NA,NA,Owned by others
"1200 Lansdowne Avenue, Toronto, ON, M6H 1C5",1,NA,NA,NA,NA,NA,City Owned
"960 St. Clair Avenue West, Toronto, ON, M6E 1A1
",NA,1,NA,NA,NA,NA,Owned by others
"1069 St. Clair Avenue West, Toronto, ON, M6E 1A6",1,NA,NA,NA,NA,NA,Owned by others
"1133 St. Clair Avenue West, Toronto, ON, M6E 1B1",1,NA,NA,NA,NA,NA,Owned by others
"1369 St. Clair Avenue West, Toronto, ON, M6E 1C5",NA,NA,NA,NA,1,NA,City Owned
"1697 St Clair Avenue West, Toronto, ON, M6N 1J2",NA,1,NA,NA,NA,NA,Owned by others
"1748 St. Clair Avenue West, Toronto, ON, M6N 1J4",1,NA,NA,1,NA,NA,City operated
"344 Westmoreland Avenue North, Toronto, ON, M6H 3A7",1,1,NA,NA,NA,NA,Owned by others
"1 Wiltshire Avenue, Unit 124, Toronto, ON, M6N 2V7
",1,NA,NA,NA,1,NA,Owned by others
"38 Abell Street, Toronto, ON, M6J 0A2",NA,1,NA,NA,NA,NA,Owned by others
"14 Afton Avenue, Toronto, ON, M6J 1R7",NA,NA,1,NA,NA,NA,Owned by others
"1041 Bloor Street West, Toronto, ON, M6H 1M4",NA,NA,NA,NA,1,NA,Owned by others
"1101 Bloor Street West, Toronto, ON, M6H 1M7",1,NA,NA,1,1,1,City Operated
"1140 Bloor Street West, Toronto, ON, M6H 3M8",NA,NA,NA,NA,1,NA,Owned by others
"1200 Bloor Street West, Toronto, ON, M6H 1N1",NA,1,NA,NA,NA,NA,Owned by others
"1222 Bloor Street West, A, Toronto, ON, M6H 1N3",1,NA,NA,NA,NA,NA,Owned by others
"1241 Bloor Street West, Toronto, ON, M6H 1N6",1,NA,NA,NA,NA,NA,Owned by others
"1277 Bloor Street West, Toronto, ON, M6H 1N7",1,1,NA,NA,NA,NA,Owned by others
"1379 Bloor Street West, Toronto, ON, M6H 1P3",NA,NA,NA,NA,1,NA,Owned by others
"267 Brock Avenue, Studio 104, Toronto, ON, M6K 2M3",NA,1,NA,NA,NA,NA,Owned by others
"225 Campbell Avenue, Toronto, ON, M6P 3V4",NA,NA,NA,NA,1,NA,City Owned
"1162 College Street, Toronto, ON, M6H 1B5",NA,1,NA,NA,NA,NA,Owned by others
"1078 Dovercourt Road, Toronto, ON, M6H 1Z5",1,NA,NA,NA,NA,NA,Owned by others
"436 Dufferin Street, Toronto, ON, M6K 2A3",1,1,NA,NA,NA,NA,Owned by others
"444 Dufferin Street, Toronto, ON, M6K 2A3",NA,1,NA,NA,1,NA,Owned by others
"875 Dufferin Street, Toronto, ON, M6H 4J3",1,NA,NA,NA,1,NA,City Owned
"1260 Dufferin Street, Toronto, ON, M6H 4C3",1,NA,NA,NA,1,NA,City Owned
"1273 Dundas Street West, Toronto, ON, M6J 1X8",NA,1,NA,NA,NA,NA,Owned by others
"1389 Dundas Street West, Toronto, ON, M6J 1Y4",NA,1,NA,NA,NA,NA,Owned by others
"1450 Dundas Street West, Toronto, ON, M6J 3L5",NA,1,NA,NA,NA,NA,Owned by others
"1585 Dundas Street West, Toronto, ON, M6K 1T9",1,1,NA,NA,NA,NA,Owned by others
"1691 Dundas Street West, Toronto, ON, M6K 1V2",NA,1,NA,NA,NA,NA,Owned by others
"1137 Dupont Street, Toronto, ON, M6H 2A3",1,1,1,NA,NA,NA,Owned by others
"1444 Dupont Street, Unit 31, Toronto, ON, M6P 4H3",1,NA,NA,NA,NA,NA,Owned by others
"1581 Dupont Street, Toronto, ON, M6P 3S5",NA,1,NA,NA,NA,NA,Owned by others
"1589 Dupont Street, Toronto, ON, M6P 3S5",NA,NA,NA,1,1,NA,City Operated
"1597 Dupont Street, Toronto, ON, M6P 3S8",1,NA,NA,NA,NA,NA,Owned by others
"50 Gladstone Avenue, Toronto, ON, M6J 3K6",NA,1,NA,NA,NA,NA,Owned by others
"270 Gladstone Avenue, Toronto, ON, M6J 3L6",NA,NA,NA,NA,1,1,Owned by others
"252 Lansdowne Avenue, Toronto, ON, M6H 3X9",1,NA,NA,NA,NA,NA,Owned by others
"346 Lansdowne Avenue, Toronto, ON, M6H 3Y2",1,NA,NA,NA,1,NA,City Owned
"712 Lansdowne Avenue, Toronto, ON, M6H 3Y8",NA,1,NA,NA,NA,NA,Owned by others
"37 Lisgar Street, Toronto, ON, M6J 3T3",NA,1,NA,NA,1,NA,Owned by others
"1092 Queen Street West, Toronto, ON, M6J 1H9",1,1,NA,NA,NA,NA,Owned by others
"1093 Queen Street West, Toronto, ON, M6J 1J1",NA,1,NA,NA,NA,NA,Owned by others
"1100 Queen Street West, Toronto, ON, M6J 1H9",1,1,NA,NA,NA,NA,Owned by others
"1115 Queen Street West, Toronto, ON, M6J 1H8",1,NA,NA,NA,NA,1,City Owned
"1150 Queen Street West, Toronto, ON, M6J 1J3",1,1,NA,NA,NA,NA,Owned by others
"1153 Queen Street West, Toronto, ON, M6J 1J4",NA,1,NA,NA,NA,NA,Owned by others
"1164 Queen Street West, Toronto, ON, M6J 1J5",NA,1,NA,NA,NA,NA,Owned by others
"1172 Queen Street West, Toronto, ON, M6J 1J5",NA,1,NA,NA,NA,NA,Owned by others
"1186 Queen Street West, Toronto, ON, M6J 1J6",NA,1,NA,NA,NA,NA,Owned by others
"1198 Queen Street West, Toronto, ON, MJ6 1J6",1,NA,NA,NA,NA,NA,Owned by others
"1214 Queen Street West, Toronto, ON, M6J 1J6",1,1,NA,NA,1,1,Owned by others
"2 Ruskin Avenue, Toronto, ON, M6P 3P8",NA,NA,NA,NA,1,1,Owned by others
"66 Sheridan Avenue, Toronto, ON, M6K 2G9",1,NA,NA,NA,1,NA,City Owned
"213 Sterling Road, Toronto, ON, M6R 2B2",1,1,NA,NA,NA,NA,Owned by others
"227 Sterling Road, Unit 112, Toronto, ON, M6P 0A1",1,NA,NA,NA,1,NA,Owned by others
"99 Sudbury Street, Toronto, ON, M6J 3S7",NA,1,NA,NA,NA,NA,Owned by others
"180 Sudbury Street, Toronto, ON, M6J 3H2",NA,1,NA,NA,NA,NA,Owned by others
"87 Wade Avenue, Unit 101, Toronto, ON, M6H 2Z3",1,NA,NA,NA,NA,NA,Owned by others
"258 Wallace Avenue, Toronto, ON, M6H 1V5",NA,NA,1,NA,NA,NA,Owned by others
"180 Westmoreland Avenue, Toronto, ON, M6H 3A2",NA,NA,NA,NA,1,NA,City Owned
"19 Atlantic Avenue, Toronto, ON, M6K 3E7",1,NA,NA,NA,NA,NA,Owned by others
"19R Atlantic Avenue, Toronto, ON, M6K 3E7",1,NA,NA,NA,NA,NA,Owned by others
"168 Bathurst Street, Toronto, ON, M5V 2R4",1,NA,NA,NA,1,NA,Owned by others
"720 Bathurst Street, Toronto, ON, M5S 2R4",1,NA,NA,NA,1,NA,Owned by others
"720 Bathurst Street, 4th Floor, Toronto, ON, M5S 2R4",1,NA,NA,NA,1,NA,Owned by others
"736 Bathurst Street, Toronto, ON, M5S 2R4",1,NA,NA,NA,NA,1,Owned by others
"746 Bathurst Street, Toronto, ON, M5S 2R6",1,NA,NA,NA,NA,NA,Owned by others
"4 Bellwoods Avenue, Toronto, ON, M6J 2P4",NA,1,NA,NA,1,NA,Owned by others
"65 Bellwoods Avenue, Toronto, ON, M6J 2N4",NA,NA,1,NA,NA,NA,Owned by others
"123 Bellwoods Avenue, Toronto, ON, M6J 1W3",NA,1,NA,NA,NA,NA,Owned by others
"627 Bloor Street West, Toronto, ON, M6G 1K4",1,NA,NA,NA,NA,NA,Owned by others
"693 Bloor Street West, Toronto, ON, M6G 1L5",1,NA,NA,NA,NA,NA,Owned by others
"750 Bloor Street West, Toronto, ON, M6G 3K4",1,NA,NA,NA,1,NA,City Owned
"777 Bloor Street West, Toronto, ON, M6G 1L6",1,1,NA,NA,NA,NA,Owned by others
"859 Bloor Street West, Toronto, ON, M6G 1M5",1,1,NA,NA,NA,NA,Owned by others
"899 Bloor Street West, Toronto, ON, M6H 1L2",1,NA,NA,NA,NA,NA,Owned by others
"945 Bloor Street West, Toronto, ON, M9N 2J5",1,NA,NA,NA,NA,NA,Owned by others
"25 British Columbia Road, Toronto, ON, M6K 3C3",NA,NA,NA,NA,1,1,Owned by others
"454 College Street, Toronto, ON, M6G 1A1",NA,NA,NA,NA,1,1,Owned by others
"489 College Street, Toronto, ON, M6G 1A5",1,1,NA,NA,NA,1,Owned by others
"608 College Street, Toronto, ON, M6G 1A1",NA,NA,1,NA,NA,1,Owned by others
"722 College Street, Toronto, ON, M6G 1C5",1,NA,NA,NA,NA,1,Owned by others
"766 College Street, Toronto, ON, M6G 1C4",1,NA,NA,1,1,NA,City Operated
"783 College Street, Toronto, ON, M6G 1C5",1,NA,NA,NA,1,1,Owned by others
"155 Crawford Street, Toronto, ON, M2H 2N1",NA,NA,NA,NA,1,1,City Owned
"279 Dovercourt Road, Toronto, ON, M6J 3C9",NA,NA,NA,NA,1,NA,Owned by others
"375 Dovercourt Road, Toronto, ON, M6J 3E5",1,NA,NA,NA,1,NA,Owned by others
"805 Dovercourt Road, Toronto, ON, M6H 2X4",1,1,NA,NA,1,NA,Owned by others
"999 Dovercourt Road, Toronto, ON, M6H 2X7",NA,1,NA,NA,NA,NA,Owned by others
"10 Dufferin Street, Toronto, ON, M6K 3C3",1,NA,NA,NA,1,NA,City Owned
"801 Dundas Street West, Toronto, ON, M6J 1V2",1,1,NA,NA,NA,NA,Owned by others
"831 Dundas Street West, Toronto, ON, M6J 1V4",1,NA,NA,NA,NA,NA,Owned by others
"850 Dundas Street West, Toronto, ON, M6J1V5",NA,1,NA,NA,NA,NA,Owned by others
"1112 Dundas Street West, Toronto, ON, M5A 3A7",NA,1,NA,NA,1,NA,Owned by others
"1161 Dundas Street West, Toronto, ON, M6J 1X3",NA,1,NA,NA,NA,NA,Owned by others
"1183 Dundas Street West, Toronto, ON, M6J 1X3",NA,1,NA,NA,NA,NA,Owned by others
"1197 Dundas Street West, Toronto, ON, M6J 1X3",1,NA,1,NA,NA,NA,Owned by others
"1256 Dundas Street West, Toronto, ON, M6J 1X5
",1,1,1,NA,NA,NA,Owned by others
"927 Dupont Street, Toronto, ON, M6H 1Z1",1,NA,NA,NA,NA,NA,Owned by others
"171 East Liberty Street, Suite 109, Toronto, ON, M6K 3P6",1,NA,NA,NA,NA,NA,Owned by others
"171 East Liberty Street, Suite 136, Toronto, ON, M6K 3P6",NA,1,NA,NA,NA,NA,Owned by others
"100 Garrison Road, Toronto, ON, Toronto",NA,1,NA,NA,NA,1,City Owned
"322 Harbord Street, Toronto, ON, M6G 1H1",NA,1,NA,NA,NA,NA,Owned by others
"909 Lake Shore Boulevard West, Toronto, ON, M6K 3L3",1,NA,NA,NA,NA,NA,Owned by others
"955 Lake Shore Boulevard West, Toronto, ON, M6K 3B9",1,NA,1,NA,1,NA,Owned by others
"477 Manning Avenue, Toronto, ON, M6G 2V8",1,NA,NA,NA,1,1,Owned by others
"14 Markham Street, Toronto, ON, M6J  2E9",NA,1,NA,NA,NA,NA,Owned by others
"581 Markham Street, Toronto, ON, M6G 2L7",1,NA,NA,NA,1,NA,Owned by others
"600 Markham Street, Toronto, ON, M6G2L8",NA,1,NA,NA,NA,NA,Owned by others
"602 Markham Street, Toronto, ON, M6G 2L8",1,NA,NA,NA,NA,NA,Owned by others
"603 Markham Street, Toronto, ON, M6G 2L7",1,1,NA,NA,NA,NA,Owned by others
"612 Markham Street, Toronto, ON, M6G 2L8",1,1,1,NA,1,NA,Owned by others
"347 Montrose Avenue, Toronto, ON, M5G 3G9",NA,1,NA,NA,NA,NA,Owned by others
"485 Montrose Avenue, Toronto, ON, M6G 3K4",1,NA,NA,NA,1,NA,City Owned
"89 Niagara Street, B, Toronto, ON, M5V 1C3",1,NA,1,NA,NA,1,Owned by others
"100 Niagara Street, Toronto, ON, M5V 1C5",1,1,NA,NA,NA,1,Owned by others
"109 Niagara Street, Toronto, ON, M5V 1C3",NA,1,NA,NA,1,NA,Owned by others
"254 Niagara Street, Toronto, ON, M6J 2L8",NA,1,NA,NA,NA,NA,Owned by others
"9 Ossington Avenue, Toronto, ON, M6J 2Y8",NA,1,1,NA,NA,NA,Owned by others
"9 Ossington Avenue, Suite 200, Toronto, ON, M6J 2Y8",1,NA,NA,NA,NA,NA,Owned by others
"12 Ossington Avenue, Toronto, ON, M6J 2Y7",NA,1,NA,NA,NA,1,Owned by others
"44 Ossington Avenue, Toronto, ON, M6J 2Y9",NA,1,NA,NA,NA,NA,Owned by others
"58 Ossington Avenue, Toronto, ON, M6J 2Y9",NA,1,NA,NA,NA,NA,Owned by others
"61 Ossington Avenue, Toronto, ON, M6J 2Y9",NA,1,NA,NA,NA,NA,Owned by others
"64 Ossington Avenue, Toronto, ON, M6J 2Y7",NA,NA,NA,NA,1,NA,Owned by others
"78 Ossington Avenue, Toronto, ON, M6J 2Y7",1,1,NA,NA,NA,1,Owned by others
"100 Ossington Avenue, Toronto, ON, M6J 2Z4",1,NA,NA,NA,NA,NA,Owned by others
"103 Ossington Avenue, Toronto, ON, M6J 2Z2",NA,NA,NA,NA,1,NA,Owned by others
"129 Ossington Avenue, Toronto, ON, M6J 2Z6",NA,1,NA,NA,NA,NA,Owned by others
"131 Ossington Avenue, Toronto, ON, M6J 2Z6",1,1,NA,NA,NA,NA,Owned by others
"218 Ossington Avenue, Toronto, ON, M6J2 Z9",1,NA,NA,NA,NA,NA,Owned by others
"249 Ossington Avenue, Toronto, ON, M6J 3A1",1,NA,NA,NA,NA,NA,Owned by others
"100 Princes' Boulevard, Toronto, ON, M6K 3C3",1,NA,NA,NA,1,1,Owned by others
"190 Princes' Boulevard, Toronto, ON, M6K 3C3",1,NA,NA,NA,NA,1,Owned by others
"195 Princes' Boulevard, Toronto, ON, M6K 3C3",1,1,NA,NA,1,1,Owned by others
"680 Queen Street West, Toronto, ON, M6J 1E3",NA,1,NA,NA,NA,NA,Owned by others
"739 Queen Street West, Toronto, ON, M6J 1G1",1,NA,NA,NA,NA,NA,Owned by others
"761 Queen Street West, Suite 201, Toronto, ON, M6J 1G1",NA,1,NA,NA,NA,NA,Owned by others
"790 Queen Street West, Toronto, ON, M6J 1G3",NA,NA,NA,NA,1,NA,City Owned
"817 Queen Street West, Toronto, ON, M4K 3C3",1,1,NA,NA,NA,NA,Owned by others
"821 Queen Street West, Toronto, ON, M6J 1E9",1,NA,NA,NA,NA,NA,Owned by others
"841 Queen Street West, Toronto, ON, M6J-1G4",NA,NA,1,NA,NA,NA,Owned by others
"887 Queen Street West, Toronto, ON, M6J 1G5",NA,1,NA,NA,NA,NA,Owned by others
"888 Queen Street West, Toronto, ON, M6J 1G3",1,1,NA,NA,NA,NA,Owned by others
"890 Queen Street West, Toronto, ON, M6J 3X5",NA,1,NA,NA,NA,NA,Owned by others
"900 Queen Street West, Toronto, ON, M6J 1H1",NA,1,NA,NA,NA,NA,Owned by others
"906 Queen Street West, Toronto, ON, M6J 1G6",NA,1,NA,NA,NA,NA,Owned by others
"944 Queen Street West, Toronto, ON, M6J 1E9",NA,1,NA,NA,NA,NA,Owned by others
"952 Queen Street West, Toronto, ON, M6J 1G8",NA,1,NA,NA,NA,NA,Owned by others
"952 Queen Street West, Toronto, ON, M6J 1G8",NA,NA,1,NA,NA,NA,Owned by others
"952 Queen Street West, Suite 200, Toronto, ON, M5R 2E2",NA,1,NA,NA,NA,NA,Owned by others
"962 Queen Street West, Toronto, ON, M6J 1G8",NA,1,NA,NA,NA,NA,Owned by others
"978 Queen Street West, Toronto, ON, M6J 1H4",NA,1,NA,NA,NA,NA,Owned by others
"980 Queen Street West, Toronto, ON, M6J 1H1",NA,1,NA,NA,NA,NA,Owned by others
"984 Queen Street West, Toronto, ON, M6J 1H4",NA,1,NA,NA,NA,NA,Owned by others
"990 Queen Street West, Toronto, ON, M6J 1H1",NA,1,NA,NA,NA,NA,Owned by others
"1001 Queen Street West, Toronto, ON, M6J 1H9",1,NA,NA,NA,NA,1,Owned by others
"1026 Queen Street West, Toronto, ON, M6J 1H6",1,1,NA,NA,NA,NA,Owned by others
"1082 Queen Street West, Toronto, ON, M6J 1H8",1,NA,1,NA,NA,NA,Owned by others
"1086 Queen Street West, Toronto, ON, M6J 1HB",NA,1,NA,NA,NA,NA,Owned by others
"1087 Queen Street West, Toronto, ON, M6J 1H3",1,NA,NA,NA,1,1,Owned by others
"15 Saskatchewan Road, Toronto, ON, M6K 3C3",NA,1,1,NA,NA,1,Owned by others
"107 Shaw Street, Toronto, ON, M6J 2W4",NA,1,NA,NA,NA,NA,Owned by others
"180 Shaw Street, Toronto, ON, M6J 2W5",1,1,NA,NA,1,1,Owned by others
"570 Shaw Street, Toronto, ON, M6G 3L6",1,1,1,NA,NA,NA,Owned by others
"1 Snooker Street, Toronto, ON, M6K 1G1",NA,1,NA,NA,NA,1,Owned by others
"2 Strachan Avenue, Toronto, ON, M6K 3K3",NA,NA,NA,NA,1,1,City Owned
"94 Stafford St.
, Toronto, ON, M6J 2S1   
",1,NA,NA,NA,NA,NA,Owned by others
"129 Tecumseth Street, Toronto, ON, M6J 2H2",NA,1,NA,NA,NA,NA,Owned by others
"133 Tecumseth Street, Toronto, ON, M6J 2H2",NA,1,NA,NA,NA,NA,Owned by others
"137 Tecumseth Street, Toronto, ON, M6J 2H4",NA,1,NA,NA,NA,NA,Owned by others
"155 Walnut Avenue, Toronto, ON, M6J 3W3",1,NA,NA,NA,NA,NA,Owned by others
"163 Walnut Avenue, Toronto, ON, M6J 3W3",1,NA,NA,NA,NA,NA,Owned by others
"198 Walnut Avenue, Unit 3, Toronto, ON, M6J 1C9",NA,1,NA,NA,NA,NA,Owned by others
"575 Wellington Street West, Toronto, ON, M5V 2R6",1,NA,NA,NA,NA,NA,Owned by others
"263 Adelaide Street West, Loft 404, Toronto, ON, M5H 1Y2",NA,1,NA,NA,NA,1,Owned by others
"263 Adelaide Street West, Unit B30, Toronto, ON, M5H 1Y2",1,NA,NA,NA,NA,1,Owned by others
"263 Adelaide Street West, Suite 4007, Toronto, ON, M5H 1Y2",NA,1,1,NA,NA,1,Owned by others
"404 Adelaide Street West, Toronto, ON, M5V 3C1",NA,1,NA,NA,NA,NA,Owned by others
"410 Adelaide Street West, Toronto, ON, M5V 1S8",NA,1,NA,NA,1,NA,Owned by others
"425 Adelaide Street West, Toronto, ON, M5V 3C1",1,NA,NA,NA,NA,NA,Owned by others
"167 Augusta Avenue, Toronto, ON, M5T 2L4",NA,1,NA,NA,1,NA,Owned by others
"207 Augusta Avenue, Toronto, ON, M5T 2L4",1,NA,NA,NA,NA,NA,Owned by others
"209 Augusta Avenue, Toronto, ON, M5T 2L4",NA,1,NA,NA,NA,NA,Owned by others
"224 Augusta Avenue, Toronto, ON, M5T 2L7",1,1,NA,NA,NA,NA,Owned by others
"268 Augusta Avenue, Toronto, ON, M5T 2L9",1,NA,NA,NA,NA,NA,Owned by others
"277 Augusta Avenue, Toronto, ON, M5T 2M1",NA,1,NA,NA,NA,NA,Owned by others
"299 Augusta Avenue, Toronto, ON, M5T 1N9",1,NA,NA,NA,NA,NA,Owned by others
"214 Avenue Road, Toronto, ON, M5R 2J4",NA,1,NA,NA,NA,NA,Owned by others
"216 Avenue Road, Toronto, ON, M5R 2J4",NA,1,NA,NA,NA,NA,Owned by others
"50 Baldwin Street, Toronto, ON, M5T 1L4",NA,1,NA,NA,NA,1,Owned by others
"125 Bathurst Street, Toronto, ON, M5V 2R2",1,NA,NA,NA,1,1,Owned by others
"133 Bathurst Street, Toronto, ON, M5V 2R2",1,NA,NA,NA,NA,NA,Owned by others
"327 Bathurst Street, Toronto, ON, M5T 1J1",1,NA,NA,1,1,NA,City Owned
"463 Bathurst Street, Toronto, ON, M5T 2S9",NA,NA,1,NA,NA,NA,Owned by others
"725 Bathurst Street, Toronto, ON, M5S 2R5",NA,1,NA,NA,1,1,Owned by others
"794 Bathurst Street, Toronto, ON, M5R 3G2",1,NA,NA,NA,NA,NA,Owned by others
"918 Bathurst Street, Toronto, ON, M5R3G5",NA,1,1,NA,NA,NA,Owned by others
"1086 Bathurst Street, Toronto, ON, M5R 3G8",NA,1,NA,NA,NA,NA,Owned by others
"168 Bedford Road, Toronto, ON, M5R 2K9",1,NA,NA,NA,NA,NA,Owned by others
"170 Bedford Road, Suite 300, Toronto, ON, M5R 2K9",NA,1,NA,NA,NA,NA,Owned by others
"25 Bellevue Avenue, Toronto, ON, M5T 1X8",NA,1,NA,NA,1,NA,Owned by others
"103 Bellevue Avenue, Toronto, ON, M5T 2N8",NA,NA,NA,NA,1,1,Owned by others
"136 Beverley Street, Toronto, ON, M5T 1Y5",NA,1,NA,NA,NA,1,Owned by others
"196 Beverley Street, Toronto, ON, M5T 1Y7",NA,1,NA,NA,1,NA,Owned by others
"227 Bloor Street East, Toronto, ON, M4W 1C8
",1,NA,NA,NA,1,NA,Owned by others
"252 Bloor Street West, Toronto, ON, M5S 1V6",NA,NA,NA,NA,1,NA,Owned by others
"273 Bloor Street West, Toronto, ON, M5S 1V6",1,NA,NA,NA,NA,1,Owned by others
"300 Bloor Street West, Toronto, ON, M5S 1W3",NA,NA,NA,NA,1,1,Owned by others
"310 Bloor Street West, Toronto, ON, M5S 1W4",NA,NA,NA,NA,1,NA,Owned by others
"327 Bloor Street West, Toronto, ON, M5S1W7",NA,1,NA,NA,NA,NA,Owned by others
"344 Bloor Street West, Suite 507, Toronto, ON, M5S 3A7",1,NA,NA,NA,NA,NA,Owned by others
"427 Bloor Street West, Toronto, ON, M5S 1X7",1,NA,NA,NA,1,1,Owned by others
"481 Bloor Street West, Toronto, ON, M5S 1Y2",1,NA,NA,NA,NA,1,Owned by others
"506 Bloor Street West, Toronto, ON, M5S 1Y3",NA,NA,1,NA,NA,NA,Owned by others
"525 Bloor Street West, Toronto, ON, M4W 1J1",1,NA,NA,NA,NA,NA,Owned by others
"529 Bloor Street West, Toronto, ON, M5S 1Y4",1,NA,NA,NA,1,NA,Owned by others
"539 Bloor Street West, Toronto, ON, M5S 1Y5",1,1,NA,NA,NA,1,Owned by others
"561 Bloor Street West, Toronto, ON, M5Y1S6",NA,1,NA,NA,NA,NA,Owned by others
"563 Bloor Street West, Toronto, ON, M5S 1Y5",1,1,NA,NA,NA,NA,Owned by others
"1 Blue Jays Way, Toronto, ON, M5V 1J3",1,NA,NA,NA,1,NA,Owned by others
"255 Bremner Boulevard, Toronto, ON, M5V 3M9",1,1,NA,NA,1,1,City Owned
"292 Brunswick Avenue, Toronto, ON, M5S 2M7",1,NA,NA,NA,1,NA,Owned by others
"296 Brunswick Avenue, Toronto, ON, M5S 2M7",1,NA,NA,NA,NA,NA,Owned by others
"20 Camden Street, Toronto, ON, M5V 1V1",NA,1,1,NA,NA,NA,Owned by others
"25 Cecil Street, Toronto, ON, M5T 1N1",NA,NA,NA,NA,1,NA,Owned by others
"58 Cecil Street, Toronto, ON, M5T 1N6",NA,NA,NA,NA,1,1,City Owned
"19 Charlotte Street, Toronto, ON, M5V 2H5",1,NA,NA,NA,NA,NA,Owned by others
"83 Christie Street, Toronto, ON, M6G 3B1",1,1,NA,NA,1,NA,Owned by others
"155 College Street, Room 610, Toronto, ON, M5S 3M2",NA,NA,NA,NA,1,1,Owned by others
"171 College Street, Toronto, ON, M5T 1P7",1,NA,NA,NA,NA,NA,Owned by others
