full_address,performance,exhibition_visual_arts,screen_based,library,multipurpose,heritage,ownership
"25 The West Mall, Toronto, ON, M9C 1B8",NA,1,NA,NA,NA,NA,Owned by others
"1 Colonel Samuel Smith Park Drive, Toronto, ON, M8V 4B6",1,1,NA,NA,1,NA,City Owned
"21 Colonel Samuel Smith Park Drive, Toronto, ON, M8V 4B6",NA,1,NA,NA,NA,NA,Owned by others
"21 Colonel Samuel Smith Park Drive, Toronto, ON, M8V 4B6",1,NA,NA,NA,1,NA,Owned by others
"23 Buckingham Street, Toronto, ON, M8Y 1A8",NA,NA,1,NA,NA,NA,Owned by others
"28 Colonel Samuel Smith Park Drive, Toronto, ON, M8V 4B7",1,NA,NA,NA,1,NA,City owned
"110 Eleventh Street, Toronto, ON, M8V 3G5",1,NA,NA,1,NA,NA,City Owned
"50 Etta Wylie Rd, Etobicoke, ON M8V 3Z7 
",NA,1,NA,NA,NA,NA,Owned by others
"350 Kipling Avenue, Toronto, ON, M8V 3K8",NA,1,NA,NA,1,NA,Owned by others
"2413 Lake Shore Boulevard West, Toronto, ON, M8V 1C5",NA,1,NA,NA,NA,NA,Owned by others
"2733 Lake Shore Boulevard West, Suite 214, Toronto, ON, M8V 1G9",1,1,1,NA,1,NA,Owned by others
"3199 Lake Shore Boulevard West, Building L, Toronto, ON, M8V 1K8",1,1,NA,NA,1,NA,Owned by others
"3500 Lake Shore Boulevard West, Toronto, ON, M8W 3H4",1,NA,NA,1,NA,NA,City Owned
"2264 Lake Shore Boulevard West, Toronto, ON, M8V 0B1",NA,1,1,NA,NA,NA,Owned by others
"69 Long Branch Avenue, Toronto, ON, M8W 1P4",1,NA,NA,NA,NA,NA,Owned by others
"95 Mimico Avenue, Toronto, ON, M8W 1R4",1,NA,NA,NA,NA,NA,Owned by others
"119 Mimico Avenue, Toronto, ON, M8W 1R6",1,NA,NA,NA,1,NA,Owned by others
"2 Orianna Drive, Toronto, ON, M8W 4Y1",NA,NA,NA,1,NA,NA,City Owned
"18 Ourland Avenue, Toronto, ON, M8Z 4C8",1,NA,NA,NA,1,NA,City Owned
"80 Park Lawn Road, Toronto, ON, M8Y 3H8",1,NA,NA,NA,NA,NA,Owned by others
"156 Sixth Street, Toronto, ON, M8V 3A8",1,NA,NA,NA,NA,NA,Owned by others
"2 Station Road, Toronto, ON, M8V 2R1",1,NA,NA,NA,NA,NA,Owned by others
"47 Station Road, Toronto, ON, M8V 2R1",1,NA,NA,1,NA,NA,City Operated
"146 Thirtieth Street, Studio 23, Toronto, ON, M8W 3C4",NA,1,NA,NA,NA,NA,Owned by others
"25 Whitlam Avenue, Toronto, ON, M8V 2K2",NA,1,NA,NA,1,NA,City Owned
"995 Arrow Road, Toronto, ON, M9M 2Z5",NA,NA,NA,NA,1,NA,Owned by others
"2990 Islington Avenue, Toronto, ON, M9L 2K9",1,NA,NA,1,NA,NA,City Owned
"2100 Jane Street, Toronto, ON, M3M 1A1",1,NA,NA,NA,NA,NA,Owned by others
"36 Loney Avenue, Toronto, ON, M3L 1G3",1,NA,NA,NA,NA,NA,Owned by others
"69 Milvan Drive, Toronto, ON, M9L 1Z1",1,NA,NA,NA,1,NA,Owned by others
"2799 Weston Road, Toronto, ON, M9M 2R9",1,NA,NA,NA,NA,NA,Owned by others
"3100 Weston Road, Toronto, ON, M9M 2S7",1,1,NA,NA,1,NA,City Owned
"1700 Wilson Avenue, Toronto, ON, M3L 1B2",1,NA,NA,NA,NA,NA,City Owned
"3962 Chesswood Drive, Toronto, ON, M3J 2W6",NA,1,NA,NA,NA,NA,Owned by others
"4100 Chesswood Drive, Unit 201, Toronto, ON, M3J 2B8",1,NA,NA,NA,NA,NA,Owned by others
"4340 Dufferin Street, Toronto, ON, M3H 5R9",NA,NA,NA,NA,1,NA,Owned by others
"1290 Finch Avenue West, Unit 17, Toronto, ON, M3J 3K3",1,NA,NA,NA,NA,NA,Owned by others
"1785 Finch Avenue West, Toronto, ON, M3N 1M6",1,1,NA,1,1,NA,City Operated
"86 Fine Arts Road, Toronto, ON, M3J 1P3",NA,1,NA,NA,NA,1,Owned by others
"350 Grandravine Drive, Toronto, ON, M3N 1J4",NA,NA,NA,NA,1,NA,City Owned
"4401 Jane Street, Toronto, ON, M3N 2K3",NA,NA,1,NA,1,NA,City Owned
"4700 Keele Street, Toronto, ON, M3J 1P3",1,1,1,NA,1,1,Owned by others
"2740 Lawrence Avenue East, Toronto, ON, M1P 3S5",1,NA,NA,NA,1,NA,Owned by others
"1000 Murray Ross Parkway, Toronto, ON, M3J 2P3",NA,1,NA,NA,NA,1,Owned by others
"80 Shoreham Drive, Toronto, ON, M3N 1S9",1,NA,NA,NA,1,NA,Owned by others
"20 Yorkwoods Gate, Toronto, ON, M3N 1J8",NA,NA,NA,NA,1,NA,City Owned
"35 Carl Hall Road, Toronto, ON, M3K 2B6",1,NA,NA,NA,NA,NA,Owned by others
"75 Carl Hall Road, 8, Toronto, ON, M3K 2B9",1,NA,NA,NA,1,NA,Owned by others
"15 Clubhouse Court, Toronto, ON, M3L 2K5",NA,NA,NA,NA,1,NA,City Owned
"20 Dubray Avenue, Toronto, ON, M3K 1V5",1,NA,NA,NA,NA,NA,Owned by others
